"passengerid","survived","pclass","sex","age","sibsp","parch","fare","embarked","title","deck","ageclass","familysize"
967,NA,"1","male",32.5,0,0,211.5,"C","Mr.","C","adult",1
1299,NA,"1","male",50,1,1,211.5,"C","Mr.","C","adult",3
1110,NA,"1","female",50,1,1,211.5,"C","Mrs.","C","adult",3
357,"yes","1","female",22,0,1,55,"S","Miss.","E","adult",2
167,"yes","1","female",38.4,0,1,55,"S","Mrs.","E","adult",2
55,"no","1","male",65,0,1,61.9792,"C","Mr.","B","senior",2
918,NA,"1","female",22,0,1,61.9792,"C","Miss.","B","adult",2
352,"no","1","male",36.5,0,0,35,"S","Mr.","C","adult",1
253,"no","1","male",62,0,0,26.55,"S","Mr.","C","senior",1
830,"yes","1","female",62,0,0,80,"S","Mrs.","B","senior",1
62,"yes","1","female",38,0,0,80,"S","Miss.","B","adult",1
436,"yes","1","female",14,1,2,120,"S","Miss.","B","teen",4
764,"yes","1","female",36,1,2,120,"S","Mrs.","B","adult",4
803,"yes","1","male",11,1,2,120,"S","Master.","B","teen",4
391,"yes","1","male",36,1,2,120,"S","Mr.","B","adult",4
186,"no","1","male",50.7,0,0,50,"S","Mr.","A","adult",1
1074,NA,"1","female",18,1,0,53.1,"S","Mrs.","D","teen",2
749,"no","1","male",19,1,0,53.1,"S","Mr.","D","teen",2
337,"no","1","male",29,1,0,66.6,"S","Mr.","C","adult",2
152,"yes","1","female",22,1,0,66.6,"S","Mrs.","C","adult",2
933,NA,"1","male",44.6,0,0,26.55,"S","Mr.","D","adult",1
1023,NA,"1","male",53,0,0,28.5,"C","Mr.","C","adult",1
1033,NA,"1","female",33,0,0,151.55,"S","Miss.","C","adult",1
298,"no","1","female",2,1,2,151.55,"S","Miss.","C","child",4
1198,NA,"1","male",30,1,2,151.55,"S","Mr.","C","adult",4
709,"yes","1","female",22,0,0,151.55,"S","Miss.","C","adult",1
499,"no","1","female",25,1,2,151.55,"S","Mrs.","C","adult",4
306,"yes","1","male",0.92,1,2,151.55,"S","Master.","C","child",4
12,"yes","1","female",58,0,0,26.55,"S","Miss.","C","adult",1
450,"yes","1","male",52,0,0,30.5,"S","Mr.","C","adult",1
493,"no","1","male",55,0,0,30.5,"S","Mr.","C","adult",1
24,"yes","1","male",28,0,0,35.5,"S","Mr.","A","adult",1
36,"no","1","male",42,1,0,52,"S","Mr.","U","adult",2
384,"yes","1","female",35,1,0,52,"S","Mrs.","U","adult",2
1215,NA,"1","male",33,0,0,26.55,"S","Mr.","U","adult",1
1040,NA,"1","male",28.4,0,0,26.55,"S","Mr.","U","adult",1
468,"no","1","male",56,0,0,26.55,"S","Mr.","U","adult",1
448,"yes","1","male",34,0,0,26.55,"S","Mr.","U","adult",1
1123,NA,"1","female",21,0,0,26.55,"S","Miss.","U","adult",1
959,NA,"1","male",47,0,0,42.4,"S","Mr.","U","adult",1
603,"no","1","male",31.5,0,0,42.4,"S","Mr.","U","adult",1
271,"no","1","male",24.9,0,0,31,"S","Mr.","U","adult",1
843,"yes","1","female",30,0,0,31,"C","Miss.","U","adult",1
695,"no","1","male",60,0,0,26.55,"S","Mr.","U","senior",1
1190,NA,"1","male",30,0,0,45.5,"S","Mr.","U","adult",1
4,"yes","1","female",35,1,0,53.1,"S","Mrs.","C","adult",2
138,"no","1","male",37,1,0,53.1,"S","Mr.","C","adult",2
608,"yes","1","male",27,0,0,30.5,"S","Mr.","U","adult",1
810,"yes","1","female",33,1,0,53.1,"S","Mrs.","E","adult",2
725,"yes","1","male",27,1,0,53.1,"S","Mr.","E","adult",2
556,"no","1","male",62,0,0,26.55,"S","Mr.","U","senior",1
42,"no","2","female",27,1,0,21,"S","Mrs.","U","adult",2
118,"no","2","male",29,1,0,21,"S","Mr.","U","adult",2
249,"yes","1","male",37,1,1,52.5542,"S","Mr.","D","adult",3
872,"yes","1","female",47,1,1,52.5542,"S","Mrs.","D","adult",3
137,"yes","1","female",19,0,2,26.2833,"S","Miss.","D","teen",3
936,NA,"1","female",45,1,0,52.5542,"S","Mrs.","D","adult",2
622,"yes","1","male",42,1,0,52.5542,"S","Mr.","D","adult",2
557,"yes","1","female",48,1,0,39.6,"C","Mrs.","A","adult",2
1256,NA,"1","female",25,1,0,55.4417,"C","Mrs.","E","adult",2
371,"yes","1","male",25,1,0,55.4417,"C","Mr.","E","adult",2
880,"yes","1","female",56,0,1,83.1583,"C","Mrs.","C","adult",2
1042,NA,"1","female",23,0,1,83.1583,"C","Mrs.","C","adult",2
311,"yes","1","female",24,0,0,83.1583,"C","Miss.","C","adult",1
572,"yes","1","female",53,2,0,51.4792,"S","Mrs.","C","adult",3
1248,NA,"1","female",59,2,0,51.4792,"S","Mrs.","C","adult",3
969,NA,"1","female",55,2,0,25.7,"S","Mrs.","C","adult",3
488,"no","1","male",58,0,0,29.7,"C","Mr.","B","adult",1
840,"yes","1","male",43.6,0,0,29.7,"C","Mr.","C","adult",1
1069,NA,"1","male",54,1,0,55.4417,"C","Mr.","C","adult",2
992,NA,"1","female",43,1,0,55.4417,"C","Mrs.","C","adult",2
940,NA,"1","female",60,0,0,76.2917,"C","Mrs.","D","senior",1
219,"yes","1","female",32,0,0,76.2917,"C","Miss.","D","adult",1
292,"yes","1","female",19,1,0,91.0792,"C","Mrs.","B","teen",2
485,"yes","1","male",25,1,0,91.0792,"C","Mr.","B","adult",2
1249,NA,"3","male",60.3,0,0,7.8792,"S","Mr.","U","senior",1
723,"no","2","male",34,0,0,13,"S","Mr.","U","adult",1
791,"no","3","male",37,0,0,7.75,"Q","Mr.","U","adult",1
1282,NA,"1","male",23,0,0,93.5,"S","Mr.","B","adult",1
1200,NA,"1","male",55,1,1,93.5,"S","Mr.","B","adult",3
821,"yes","1","female",52,1,1,93.5,"S","Mrs.","B","adult",3
521,"yes","1","female",30,0,0,93.5,"S","Miss.","B","adult",1
584,"no","1","male",36,0,0,40.125,"C","Mr.","A","adult",1
1162,NA,"1","male",46,0,0,75.2417,"C","Mr.","C","adult",1
1010,NA,"1","male",36,0,0,75.2417,"C","Mr.","C","adult",1
648,"yes","1","male",56,0,0,35.5,"C","Mr.","A","adult",1
633,"yes","1","male",32,0,0,30.5,"C","Mr.","B","adult",1
926,NA,"1","male",30,1,0,57.75,"C","Mr.","C","adult",2
1014,NA,"1","female",35,1,0,57.75,"C","Mrs.","C","adult",2
766,"yes","1","female",51,1,0,77.9583,"S","Mrs.","D","adult",2
276,"yes","1","female",63,1,0,77.9583,"S","Miss.","D","senior",2
628,"yes","1","female",21,0,0,77.9583,"S","Miss.","D","adult",1
435,"no","1","male",50,1,0,55.9,"S","Mr.","E","adult",2
578,"yes","1","female",39,1,0,55.9,"S","Mrs.","E","adult",2
1164,NA,"1","female",26,1,0,136.7792,"C","Mrs.","C","adult",2
1144,NA,"1","male",27,1,0,136.7792,"C","Mr.","C","adult",2
457,"no","1","male",65,0,0,26.55,"S","Mr.","E","senior",1
1289,NA,"1","female",48,1,1,79.2,"C","Mrs.","B","adult",3
588,"yes","1","male",60,1,1,79.2,"C","Mr.","B","senior",3
540,"yes","1","female",22,0,2,49.5,"C","Miss.","B","adult",3
1287,NA,"1","female",18,1,0,60,"S","Mrs.","C","teen",2
942,NA,"1","male",24,1,0,60,"S","Mr.","C","adult",2
986,NA,"1","male",25,0,0,26,"C","Mr.","U","adult",1
48,"yes","3","female",38.8,0,0,7.75,"Q","Miss.","U","adult",1
574,"yes","3","female",25.3,0,0,7.75,"Q","Miss.","U","adult",1
369,"yes","3","female",16.7,0,0,7.75,"Q","Miss.","U","teen",1
589,"no","3","male",22,0,0,8.05,"S","Mr.","U","adult",1
75,"yes","3","male",32,0,0,56.4958,"S","Mr.","U","adult",1
170,"no","3","male",28,0,0,56.4958,"S","Mr.","U","adult",1
827,"no","3","male",42.5,0,0,56.4958,"S","Mr.","U","adult",1
839,"yes","3","male",32,0,0,56.4958,"S","Mr.","U","adult",1
510,"yes","3","male",26,0,0,56.4958,"S","Mr.","U","adult",1
644,"yes","3","male",32.5,0,0,56.4958,"S","Mr.","U","adult",1
693,"yes","3","male",29.7,0,0,56.4958,"S","Mr.","U","adult",1
931,NA,"3","male",37.7,0,0,56.4958,"S","Mr.","U","adult",1
1263,NA,"1","female",31,0,0,134.5,"C","Miss.","E","adult",1
1134,NA,"1","male",45,1,1,134.5,"C","Mr.","E","adult",3
320,"yes","1","female",40,1,1,134.5,"C","Mrs.","E","adult",3
1088,NA,"1","male",6,0,2,134.5,"C","Master.","E","child",3
338,"yes","1","female",41,0,0,134.5,"C","Miss.","E","adult",1
741,"yes","1","male",22.4,0,0,30,"S","Mr.","D","adult",1
582,"yes","1","female",39,1,1,110.8833,"C","Mrs.","C","adult",3
307,"yes","1","female",13.3,0,0,110.8833,"C","Miss.","C","teen",1
551,"yes","1","male",17,0,2,110.8833,"C","Mr.","C","teen",3
699,"no","1","male",49,1,1,110.8833,"C","Mr.","C","adult",3
454,"yes","1","male",49,1,0,89.1042,"C","Mr.","C","adult",2
850,"yes","1","female",36.2,1,0,89.1042,"C","Mrs.","C","adult",2
1038,NA,"1","male",35.8,0,0,51.8625,"S","Mr.","E","adult",1
7,"no","1","male",54,0,0,51.8625,"S","Mr.","E","adult",1
1137,NA,"1","male",41,1,0,51.8625,"S","Mr.","D","adult",2
458,"yes","1","female",23,1,0,51.8625,"S","Mrs.","D","adult",2
797,"yes","1","female",49,0,0,25.9292,"S","Mrs.","D","adult",1
863,"yes","1","female",48,0,0,25.9292,"S","Mrs.","D","adult",1
782,"yes","1","female",17,1,0,57,"S","Mrs.","B","teen",2
691,"yes","1","male",31,1,0,57,"S","Mr.","B","adult",2
1036,NA,"1","male",42,0,0,26.55,"S","Mr.","U","adult",1
175,"no","1","male",56,0,0,30.6958,"C","Mr.","A","adult",1
1296,NA,"1","male",43,1,0,27.7208,"C","Mr.","D","adult",2
1060,NA,"1","female",61.7,0,0,27.7208,"C","Mrs.","U","senior",1
988,NA,"1","female",76,1,0,78.85,"S","Mrs.","C","senior",2
742,"no","1","male",36,1,0,78.85,"S","Mr.","C","adult",2
291,"yes","1","female",26,0,0,78.85,"S","Miss.","C","adult",1
974,NA,"1","male",49,0,0,26,"S","Mr.","U","adult",1
246,"no","1","male",44,2,0,90,"Q","Mr.","C","adult",3
413,"yes","1","female",33,1,0,90,"Q","Miss.","C","adult",2
1303,NA,"1","female",37,1,0,90,"Q","Mrs.","C","adult",2
225,"yes","1","male",38,1,0,90,"S","Mr.","C","adult",2
487,"yes","1","female",35,1,0,90,"S","Mrs.","C","adult",2
56,"yes","1","male",16.7,0,0,35.5,"S","Mr.","C","teen",1
342,"yes","1","female",24,3,2,263,"S","Miss.","C","adult",6
961,NA,"1","female",60,1,4,263,"S","Mrs.","C","senior",6
945,NA,"1","female",28,3,2,263,"S","Miss.","C","adult",6
439,"no","1","male",64,1,4,263,"S","Mr.","C","senior",6
89,"yes","1","female",23,3,2,263,"S","Miss.","C","adult",6
28,"no","1","male",19,3,2,263,"S","Mr.","C","teen",6
461,"yes","1","male",48,0,0,26.55,"S","Mr.","E","adult",1
823,"no","1","male",38,0,0,0,"S","Mr.","U","adult",1
299,"yes","1","male",44.4,0,0,30.5,"S","Mr.","C","adult",1
670,"yes","1","female",20.1,1,0,52,"S","Mrs.","C","adult",2
713,"yes","1","male",48,1,0,52,"S","Mr.","C","adult",2
427,"yes","2","female",28,1,0,26,"S","Mrs.","U","adult",2
1220,NA,"2","male",29,1,0,26,"S","Mr.","U","adult",2
1020,NA,"2","male",42,0,0,13,"S","Mr.","U","adult",1
887,"no","2","male",27,0,0,13,"S","Mr.","U","adult",1
904,NA,"1","female",23,1,0,82.2667,"S","Mrs.","B","adult",2
1179,NA,"1","male",24,1,0,82.2667,"S","Mr.","B","adult",2
1291,NA,"3","male",31,0,0,7.7333,"Q","Mr.","U","adult",1
223,"no","3","male",51,0,0,8.05,"S","Mr.","U","adult",1
563,"no","2","male",28,0,0,13.5,"S","Mr.","U","adult",1
627,"no","2","male",57,0,0,12.35,"Q","Mr.","U","adult",1
222,"no","2","male",27,0,0,13,"S","Mr.","U","adult",1
1054,NA,"2","female",26,0,0,13.5,"S","Miss.","U","adult",1
616,"yes","2","female",24,1,2,65,"S","Miss.","U","adult",4
755,"yes","2","female",48,1,2,65,"S","Mrs.","U","adult",4
1122,NA,"2","male",14,0,0,65,"S","Mr.","U","teen",1
1245,NA,"2","male",49,1,2,65,"S","Mr.","U","adult",4
1277,NA,"2","female",24,1,2,65,"S","Miss.","U","adult",4
835,"no","3","male",18,0,0,8.3,"S","Mr.","U","teen",1
707,"yes","2","female",45,0,0,13.5,"S","Mrs.","U","adult",1
304,"yes","2","female",0.17,0,0,12.35,"Q","Miss.","E","child",1
519,"yes","2","female",36,1,0,26,"S","Mrs.","U","adult",2
1082,NA,"2","male",34,1,0,26,"S","Mr.","U","adult",2
134,"yes","2","female",29,1,0,26,"S","Mrs.","U","adult",2
993,NA,"2","male",27,1,0,26,"S","Mr.","U","adult",2
345,"no","2","male",36,0,0,13,"S","Mr.","U","adult",1
149,"no","2","male",36.5,0,2,26,"S","Mr.","F","adult",3
194,"yes","2","male",3,1,1,26,"S","Master.","F","child",3
341,"yes","2","male",2,1,1,26,"S","Master.","F","child",3
184,"yes","2","male",1,2,1,39,"S","Master.","F","child",4
1070,NA,"2","female",36,0,3,39,"S","Mrs.","F","adult",4
1218,NA,"2","female",12,2,1,39,"S","Miss.","F","teen",4
619,"yes","2","female",4,2,1,39,"S","Miss.","F","child",4
260,"yes","2","female",50,0,1,26,"S","Mrs.","U","adult",2
881,"yes","2","female",25,0,1,26,"S","Mrs.","U","adult",2
444,"yes","2","female",28,0,0,13,"S","Mrs.","U","adult",1
99,"yes","2","female",34,0,1,23,"S","Mrs.","U","adult",2
652,"yes","2","female",18,0,1,23,"S","Miss.","U","teen",2
145,"no","2","male",18,0,0,11.5,"S","Mr.","U","teen",1
1072,NA,"2","male",30,0,0,13,"S","Mr.","U","adult",1
735,"no","2","male",23,0,0,13,"S","Mr.","U","adult",1
908,NA,"2","male",35,0,0,12.35,"Q","Mr.","U","adult",1
865,"no","2","male",24,0,0,13,"S","Mr.","U","adult",1
464,"no","2","male",48,0,0,13,"S","Mr.","U","adult",1
191,"yes","2","female",32,0,0,13,"S","Mrs.","U","adult",1
667,"no","2","male",25,0,0,13,"S","Mr.","U","adult",1
323,"yes","2","female",30,0,0,12.35,"Q","Miss.","U","adult",1
1085,NA,"2","male",61,0,0,12.35,"Q","Mr.","U","senior",1
229,"no","2","male",18,0,0,13,"S","Mr.","U","teen",1
866,"yes","2","female",42,0,0,13,"S","Mrs.","U","adult",1
1167,NA,"2","female",20,1,0,26,"S","Miss.","U","adult",2
729,"no","2","male",25,1,0,26,"S","Mr.","U","adult",2
1221,NA,"2","male",21,0,0,13,"S","Mr.","U","adult",1
953,NA,"2","male",32,0,0,13.5,"S","Mr.","U","adult",1
935,NA,"2","female",30,0,0,13,"S","Mrs.","U","adult",1
1056,NA,"2","male",41,0,0,13,"S","Mr.","U","adult",1
233,"no","2","male",59,0,0,13.5,"S","Mr.","U","adult",1
587,"no","2","male",47,0,0,15,"S","Mr.","U","adult",1
636,"yes","2","female",28,0,0,13,"S","Miss.","U","adult",1
1238,NA,"2","male",26,0,0,13,"S","Mr.","U","adult",1
358,"no","2","female",38,0,0,13,"S","Miss.","U","adult",1
1002,NA,"2","male",41,0,0,15.0458,"C","Mr.","U","adult",1
1193,NA,"2","male",34.8,0,0,15.0458,"C","Mr.","D","adult",1
10,"yes","2","female",14,1,0,30.0708,"C","Mrs.","U","teen",2
123,"no","2","male",32.5,1,0,30.0708,"C","Mr.","U","adult",2
581,"yes","2","female",25,1,1,30,"S","Miss.","U","adult",3
1133,NA,"2","female",45,0,2,30,"S","Mrs.","U","adult",3
289,"yes","2","male",42,0,0,13,"S","Mr.","U","adult",1
1077,NA,"2","male",40,0,0,16,"S","Mr.","U","adult",1
467,"no","2","male",17.9,0,0,0,"S","Mr.","U","teen",1
278,"no","2","male",25.4,0,0,0,"S","Mr.","U","adult",1
414,"no","2","male",40.5,0,0,0,"S","Mr.","U","adult",1
482,"no","2","male",29.6,0,0,0,"S","Mr.","U","adult",1
733,"no","2","male",29.6,0,0,0,"S","Mr.","U","adult",1
675,"no","2","male",24.3,0,0,0,"S","Mr.","U","adult",1
21,"no","2","male",35,0,0,26,"S","Mr.","U","adult",1
792,"no","2","male",16,0,0,26,"S","Mr.","U","teen",1
976,NA,"2","male",32.1,0,0,10.7083,"Q","Mr.","U","adult",1
894,NA,"2","male",62,0,0,9.6875,"Q","Mr.","U","senior",1
905,NA,"2","male",63,1,0,26,"S","Mr.","U","senior",2
1105,NA,"2","female",60,1,0,26,"S","Mrs.","U","senior",2
400,"yes","2","female",28,0,0,12.65,"S","Mrs.","U","adult",1
1216,NA,"1","female",39,0,0,211.3375,"S","Miss.","B","adult",1
731,"yes","1","female",29,0,0,211.3375,"S","Miss.","B","adult",1
780,"yes","1","female",43,0,1,211.3375,"S","Mrs.","B","adult",2
690,"yes","1","female",15,0,1,211.3375,"S","Miss.","B","teen",2
1121,NA,"2","male",36,0,0,13,"S","Mr.","U","adult",1
218,"no","2","male",42,1,0,27,"S","Mr.","U","adult",2
601,"yes","2","female",24,2,1,27,"S","Mrs.","U","adult",4
577,"yes","2","female",34,0,0,13,"S","Miss.","U","adult",1
250,"no","2","male",54,1,0,26,"S","Mr.","U","adult",2
855,"no","2","female",44,1,0,26,"S","Mrs.","U","adult",2
674,"yes","2","male",31,0,0,13,"S","Mr.","U","adult",1
399,"no","2","male",23,0,0,10.5,"S","Mr.","U","adult",1
150,"no","2","male",42,0,0,13,"S","Mr.","U","adult",1
1279,NA,"2","male",57,0,0,13,"S","Mr.","U","adult",1
552,"no","2","male",27,0,0,26,"S","Mr.","U","adult",1
1035,NA,"2","male",28,0,0,26,"S","Mr.","U","adult",1
1228,NA,"2","male",32,0,0,13,"S","Mr.","U","adult",1
344,"no","2","male",25,0,0,13,"S","Mr.","U","adult",1
100,"no","2","male",34,1,0,26,"S","Mr.","U","adult",2
317,"yes","2","female",24,1,0,26,"S","Mrs.","U","adult",2
1214,NA,"2","male",26,0,0,13,"S","Mr.","F","adult",1
18,"yes","2","male",16.6,0,0,13,"S","Mr.","U","teen",1
1029,NA,"2","male",26,0,0,13,"S","Mr.","U","adult",1
22,"yes","2","male",34,0,0,13,"S","Mr.","D","adult",1
16,"yes","2","female",55,0,0,16,"S","Mrs.","U","adult",1
809,"no","2","male",39,0,0,13,"S","Mr.","U","adult",1
1240,NA,"2","male",24,0,0,13.5,"S","Mr.","U","adult",1
721,"yes","2","female",6,0,1,33,"S","Miss.","U","child",2
849,"no","2","male",28,0,1,33,"S","Mr.","U","adult",2
597,"yes","2","female",19.8,0,0,33,"S","Miss.","U","teen",1
696,"no","2","male",52,0,0,13.5,"S","Mr.","U","adult",1
346,"yes","2","female",24,0,0,13,"S","Miss.","F","adult",1
1001,NA,"2","male",18.5,0,0,13,"S","Mr.","F","teen",1
79,"yes","2","male",0.83,0,2,29,"S","Master.","U","child",3
324,"yes","2","female",22,1,1,29,"S","Mrs.","U","adult",3
899,NA,"2","male",26,1,1,29,"S","Mr.","U","adult",3
343,"no","2","male",28,0,0,13,"S","Mr.","U","adult",1
970,NA,"2","male",30,0,0,13,"S","Mr.","U","adult",1
1265,NA,"2","male",44,0,0,13,"S","Mr.","U","adult",1
200,"no","2","female",24,0,0,13,"S","Miss.","U","adult",1
724,"no","2","male",50,0,0,13,"S","Mr.","U","adult",1
273,"yes","2","female",41,0,1,19.5,"S","Mrs.","U","adult",2
447,"yes","2","female",13,0,1,19.5,"S","Miss.","U","teen",2
214,"no","2","male",30,0,0,13,"S","Mr.","U","adult",1
801,"no","2","male",34,0,0,13,"S","Mr.","U","adult",1
715,"no","2","male",52,0,0,13,"S","Mr.","U","adult",1
748,"yes","2","female",30,0,0,13,"S","Miss.","U","adult",1
248,"yes","2","female",24,0,2,14.5,"S","Mrs.","U","adult",3
756,"yes","2","male",0.67,1,1,14.5,"S","Master.","U","child",3
1130,NA,"2","female",18,1,1,13,"S","Miss.","U","teen",3
313,"no","2","female",26,1,1,26,"S","Mrs.","U","adult",3
1041,NA,"2","male",30,1,1,26,"S","Mr.","U","adult",3
418,"yes","2","female",18,0,2,13,"S","Miss.","U","teen",3
179,"no","2","male",30,0,0,13,"S","Mr.","U","adult",1
706,"no","2","male",39,0,0,26,"S","Mr.","U","adult",1
428,"yes","2","female",19,0,0,26,"S","Miss.","U","teen",1
960,NA,"1","male",31,0,0,28.5375,"C","Mr.","C","adult",1
554,"yes","3","male",22,0,0,7.225,"C","Mr.","U","adult",1
1025,NA,"3","male",33.3,1,0,6.4375,"C","Mr.","U","adult",2
1231,NA,"3","male",2.7,0,0,7.2292,"C","Master.","U","child",1
662,"no","3","male",40,0,0,7.225,"C","Mr.","U","adult",1
523,"no","3","male",35.3,0,0,7.225,"C","Mr.","U","adult",1
804,"yes","3","male",0.42,0,1,8.5167,"C","Master.","U","child",2
996,NA,"3","female",16,1,1,8.5167,"C","Mrs.","U","teen",3
368,"yes","3","female",26.6,0,0,7.2292,"C","Mrs.","U","adult",1
115,"no","3","female",17,0,0,14.4583,"C","Miss.","U","teen",1
496,"no","3","male",49.1,0,0,14.4583,"C","Mr.","U","adult",1
204,"no","3","male",45.5,0,0,7.225,"C","Mr.","U","adult",1
860,"no","3","male",21.7,0,0,7.2292,"C","Mr.","U","adult",1
27,"no","3","male",43.2,0,0,7.225,"C","Mr.","U","adult",1
531,"yes","2","female",2,1,1,26,"S","Miss.","U","child",3
1095,NA,"2","female",8,1,1,26,"S","Miss.","U","child",3
507,"yes","2","female",33,0,2,26,"S","Mrs.","U","adult",3
532,"no","3","male",39,0,0,7.2292,"C","Mr.","U","adult",1
355,"no","3","male",33.7,0,0,7.225,"C","Mr.","U","adult",1
379,"no","3","male",20,0,0,4.0125,"C","Mr.","U","adult",1
20,"yes","3","female",46.7,0,0,7.225,"C","Mrs.","U","adult",1
256,"yes","3","female",29,0,2,15.2458,"C","Mrs.","U","adult",3
1053,NA,"3","male",7,1,1,15.2458,"C","Master.","U","child",3
1175,NA,"3","female",9,1,1,15.2458,"C","Miss.","U","child",3
40,"yes","3","female",14,1,0,11.2417,"C","Miss.","U","teen",2
126,"yes","3","male",12,1,0,11.2417,"C","Master.","U","teen",2
1184,NA,"3","male",11,0,0,7.2292,"C","Mr.","U","teen",1
623,"yes","3","male",20,1,1,15.7417,"C","Mr.","U","adult",3
382,"yes","3","female",1,0,2,15.7417,"C","Miss.","U","child",3
1225,NA,"3","female",19,1,1,15.7417,"C","Mrs.","U","teen",3
1213,NA,"3","male",25,0,0,7.2292,"C","Mr.","F","adult",1
1180,NA,"3","male",11,0,0,7.2292,"C","Mr.","F","teen",1
1028,NA,"3","male",26.5,0,0,7.225,"C","Mr.","U","adult",1
900,NA,"3","female",18,0,0,7.2292,"C","Mrs.","U","teen",1
1203,NA,"3","male",22,0,0,7.225,"C","Mr.","U","adult",1
831,"yes","3","female",15,1,0,14.4542,"C","Mrs.","U","teen",2
621,"no","3","male",27,1,0,14.4542,"C","Mr.","U","adult",2
1141,NA,"3","female",16.6,1,0,14.4542,"C","Mrs.","U","teen",2
977,NA,"3","male",48.4,1,0,14.4542,"C","Mr.","U","adult",2
66,"yes","3","male",8.1,1,1,15.2458,"C","Master.","U","child",3
710,"yes","3","male",0.8,1,1,15.2458,"C","Master.","U","child",3
1117,NA,"3","female",14.1,0,2,15.2458,"C","Mrs.","U","teen",3
49,"no","3","male",50.4,2,0,21.6792,"C","Mr.","U","adult",3
1189,NA,"3","male",34.5,2,0,21.6792,"C","Mr.","U","adult",3
921,NA,"3","male",21.5,2,0,21.6792,"C","Mr.","U","adult",3
763,"yes","3","male",20,0,0,7.2292,"C","Mr.","U","adult",1
599,"no","3","male",39,0,0,7.225,"C","Mr.","U","adult",1
112,"no","3","female",14.5,1,0,14.4542,"C","Miss.","U","teen",2
241,"no","3","female",23.4,1,0,14.4542,"C","Miss.","U","adult",2
449,"yes","3","female",5,2,1,19.2583,"C","Miss.","U","child",4
470,"yes","3","female",0.75,2,1,19.2583,"C","Miss.","U","child",4
